Year,Lectionary Number,Sunday or Feast,First Reading,Responsorial Psalm,Second Reading,Alleluia,Gospel
A,164,Trinity Sunday,"Exod 34:4b-6, 8-9","Dan 3:52, 53, 54, 55 (diff)",2 Cor 13:11-13,cf. Rev 1:8,John 3:16-18
B,165,Trinity Sunday,"Deut 4:32-34, 39-40","Ps 33:4-5, 6+9, 18-19, 20+22",Rom 8:14-17,cf. Rev 1:8,Matt 28:16-20
C,166,Trinity Sunday,Prov 8:22-31,"Ps 8:4-5, 6-7, 8-9",Rom 5:1-5,cf. Rev 1:8,John 16:12-15
A,167,Corpus Christi (The Body and Blood of Christ),"Deut 8:2-3, 14b-16a","Ps 147:12-13, 14-15, 19-20",1 Cor 10:16-17,John 6:51,John 6:51-58
B,168,Corpus Christi (The Body and Blood of Christ),Exod 24:3-8,"Ps 116:12-13, 15-16, 17-18",Heb 9:11-15,John 6:51,"Mark 14:12-16, 22-26"
C,169,Corpus Christi (The Body and Blood of Christ),Gen 14:18-20,"Ps 110:1, 2, 3, 4",1 Cor 11:23-26,John 6:51,Luke 9:11b-17
A,170,The Sacred Heart of Jesus,Deut 7:6-11,"Ps 103:1-2, 3-4, [6-7,] 8+10",1 John 4:7-16,Matt 11:29ab,Matt 11:25-30
B,171,The Sacred Heart of Jesus,"Hos 11:1, 3-4, 8c-9","Isa 12:2-3, 4bcd, 5-6","Eph 3:8-12, 14-19",Matt 11:29ab or 1 John 4:10b,John 19:31-37
C,172,The Sacred Heart of Jesus,Ezek 34:11-16,"Ps 23:1-3a, 3b-4, 5, 6",Rom 5:5b-11,Matt 11:29ab or John 10:14,Luke 15:3-7
,524,The Presentation of the Lord,Mal 3:1-4,"Ps 24:7, 8 ,9, 10",Heb 2:14-18,,Luke 2:22-40 or 2:22-32
,543,"St. Joseph, Spouse of the Blessed Virgin Mary","2 Sam 7:4-5a, 12-14a, 16","Ps 89:2-3, 4-5, 27, 29","Rom 4:13, 16-18, 22",,"Matt 1:16, 18-21, 24a 
 or Luke 2:41-51a"
,545,The Annunciation of the Lord,Isa 7:10-14," Ps 40:7-8, 8-9, 10, 11, 8:10 (diff)",Heb 10:4-10,,Luke 1:26-38
,586,The Nativity of St. John the Baptist: Vigil,Jer 1:4-10,"Ps 71:1-2, 3-4, 5-6, 15, 17",1 Pet 1:8-12,,Luke 1:5-17
,587,The Nativity of St. John the Baptist: Day,Isa 49:1-6,"Ps 139:1-3, 13-14, 14-15",Acts 13:22-26,,"Luke 1:57-66, 80"
,590,"SS. Peter and Paul, Apostles: Vigil",Acts 3:1-10,"Ps 19:2-3, 4-5",Gal 1:11-20,,John 21:15-19
,591,"SS. Peter and Paul, Apostles: Day",Acts 12:1-11,"Ps 34:2-3, 4-5, 6-7, 8-9","2 Tim 4:6-8, 17-18",,Matt 16:13-19
A,614,The Transfiguration of the Lord,"Dan 7:9-10, 13-14","Ps 97:1-2, 5-6, 9",2 Peter 1:16-19,,Matt 17:1-9
