Date,#,Sunday,First Reading,Responsorial Psalm,Second Reading,Alleluia,Gospel
1/12/20,21,"Feast of the Baptism of the Lord - A
 [begin 1st Week in Ordinary Time]","Isa 42:1-4, 6-7","Ps 29:1-2, 3-4, 3b+9b-10",Acts 10:34-38,cf. Mark 9:7,Matt 3:13-17
1/19/20,64,2nd Sunday in Ordinary Time - A,"Isa 49:3, 5-6","Ps 40:2+4, 7-8a, 8b-9, 10",1 Cor 1:1-3,John 1:14a+12a,John 1:29-34
1/26/20,67,"3rd Sunday in Ordinary Time - A:
 Sunday of the Word of God*",Isa 8:23b—9:3,"Ps 27:1, 4, 13-14","1 Cor 1:10-13, 17",cf. Matt 4:23,Matt 4:12-23 or 4:12-17
[2/2/20],70,4th Sunday in Ordinary Time - A,Zeph 2:3; 3:12-13,"Ps 146:6c-7, 8-9a, 9b-10",1 Cor 1:26-31,Matt 5:12a,Matt 5:1-12a
2/9/20,73,5th Sunday in Ordinary Time - A,Isa 58:7-10,"Ps 112:4-5, 6-7, 8-9",1 Cor 2:1-5,John 8:12,Matt 5:13-16
2/16/20,76,6th Sunday in Ordinary Time - A,Sir 15:16-21 (diff),"Ps 119:1-2, 4-5, 17-18, 33-34",1 Cor 2:6-10,cf. Matt 11:25,"Matt 5:17-37
 or 5:20-22a, 27-28, 33-34a, 37"
2/23/20,79,7th Sunday in Ordinary Time - A,"Lev 19:1-2, 17-18","Ps 103:1-2, 3-4, 8+10, 12-13",1 Cor 3:16-23,1 John 2:5,Matt 5:38-48
x,82,8th Sunday in Ordinary Time - A,Isa 49:14-15,"Ps 62:2-3, 6-7, 8-9",1 Cor 4:1-5,Hebr 4:12,Matt 6:24-34
[5/31/20],85,"9th Sunday in Ordinary Time - A
 [2020: Pentecost]","Deut 11:18, 26-28, 32 (diff)","Ps 31:2-3a, 3b-4, 17+25","Rom 3:21-25, 28",John 15:5,Matt 7:21-27
[6/7/20],88,"10th Sunday in Ordinary Time - A
 [2020: Holy Trinity]",Hos 6:3-6,"Ps 50:1+8, 12-13, 14-15",Rom 4:18-25,cf. Luke 4:18,Matt 9:9-13
[6/14/20],91,"11th Sunday in Ordinary Time - A
 [2020: Corpus Christi]",Exod 19:2-6a,"Ps 100:1-2, 3, 5",Rom 5:6-11,Mark 1:15,Matt 9:36—10:8
