Date,#,Sunday,First Reading,Responsorial Psalm,Second Reading,Alleluia,Gospel
1/9/22,21,"Feast of the Baptism of the Lord - C
 [begin 1st Week in Ordinary Time]","optional: Isa 40:1-5, 9-11
 or reading from Year A","opt.: Ps 104:1b-2, 3-4, 24-25, 27-28,
 29b-30; or Psalm from Year A","opt: Titus 2:11-14; 3:4-7
 or reading from Year A",cf. Luke 3:16,"Luke 3:15-16, 21-22"
1/16/22,66,2nd Sunday in Ordinary Time - C,Isa 62:1-5,"Ps 96:1-2a, 2b-3, 7-8, 9-10",1 Cor 12:4-11,cf. 2 Thess 2:14,John 2:1-11 (diff)
1/23/22,69,"3rd Sunday in Ordinary Time - C:
 Sunday of the Word of God*","Neh 8:2-4a, 5-6, 8-10","Ps 19:8, 9, 10, 15","1 Cor 12:12-30
 or 12:12-14, 27",Luke 4:18cd,Luke 1:1-4; 4:14-21
1/30/22,72,4th Sunday in Ordinary Time - C,"Jer 1:4-5, 17-19","Ps 71:1-2, 3-4, 5-6, 15+17","1 Cor 12:31—13:13
 or 13:4-13",Luke 4:18cd,Luke 4:21-30
2/6/22,75,5th Sunday in Ordinary Time - C,"Isa 6:1-2a, 3-8","Ps 138:1-2a, 2b-3, 4-5, 7-8","1 Cor 15:1-11
 or 15:3-8, 11",Matt 4:19,Luke 5:1-11
2/13/22,78,6th Sunday in Ordinary Time - C,Jer 17:5-8,"Ps 1:1-2, 3, 4+6","1 Cor 15:12, 16-20",Luke 6:23ab,"Luke 6:17, 20-26"
2/20/22,81,7th Sunday in Ordinary Time - C,"1 Sam 26:2, 7-9, 12-13, 22-23","Ps 103:1-2, 3-4, 8+10, 12-13",1 Cor 15:45-49,John 13:34,Luke 6:27-38
2/27/22,84,8th Sunday in Ordinary Time - C,Sir 27:5-8 (diff),"Ps 92:2-3, 13-14, 15-16",1 Cor 15:54-58,Phil 2:15d+16a,Luke 6:39-45
X,87,"9th Sunday in Ordinary Time - C
 [2022: omitted]",1 Kgs 8:41-43,Ps 117:1-2,"Gal 1:1-2, 6-10",John 3:16,Luke 7:1-10
[6/5/22],90,"10th Sunday in Ordinary Time - C
 [2022: Pentecost Sunday]",1 Kgs 17:17-24,"Ps 30:2+4, 5-6, 11-12a+13b",Gal 1:11-19,Luke 7:16,Luke 7:11-17
