Lect. #,Day,First Reading: Year I,Responsorial Psalm,Alleluia,Gospel: Years I & II,2021
305,Week 1 - Mon,Heb 1:1-6,"Ps 97:1+2b, 6+7c, 9",Mark 1:15,Mark 1:14-20,11-Jan-21
306,Week 1 - Tues,Heb 2:5-12,"Ps 8:2ab+5, 6-7, 8-9",See 1 Thess 2:13,Mark 1:21-28,12-Jan-21
307,Week 1 - Wed,Heb 2:14-18,"Ps 105:1-2, 3-4, 6-7, 8-9",John 10:27,Mark 1:29-39,13-Jan-21
308,Week 1 - Thurs,Heb 3:7-14,"Ps 95:6-7c, 8-9, 10-11",See Matt 4:23,Mark 1:40-45,14-Jan-21
309,Week 1 - Fri,"Heb 4:1-5, 11","Ps 78:3+4bc, 6c-7, 8",Luke 7:16,Mark 2:1-12,15-Jan-21
310,Week 1 - Sat,Heb 4:12-16,"Ps 19:8, 9, 10, 15",Luke 4:18,Mark 2:13-17,16-Jan-21
311,Week 2 - Mon,Heb 5:1-10,"Ps 110:1, 2, 3, 4",Heb 4:12,Mark 2:18-22,18-Jan-21
312,Week 2 - Tues,Heb 6:10-20,"Ps 111:1-2, 4-5, 9+10c",See Eph 1:17-18,Mark 2:23-28,19-Jan-21
313,Week 2 - Wed,"Heb 7:1-3, 15-17","Ps 110:1, 2, 3, 4",See Matt 4:23,Mark 3:1-6,20-Jan-21
314,Week 2 - Thurs,Heb 7:25—8:6,"Ps 40:7-8a, 8b-9, 10, 17",See 2 Tim 1:10,Mark 3:7-12,21-Jan-21
315,Week 2 - Fri,Heb 8:6-13,"Ps 85:8+10, 11-12, 13-14",2 Cor 5:19,Mark 3:13-19,22-Jan-21
316,Week 2 - Sat,"Heb 9:2-3, 11-14","Ps 47:2-3, 6-7, 8-9",See Acts 16:14b,Mark 3:20-21,23-Jan-21
317,Week 3 - Mon,"Heb 9:15, 24-28","Ps 98:1, 2-3ab, 3cd-4, 5-6",See 2 Tim 1:10,Mark 3:22-30,[25: Conversion of St. Paul]
318,Week 3 - Tues,Heb 10:1-10,"Ps 40:2+4ab, 7-8a, 10, 11",See Matt 11:25,Mark 3:31-35,[26: Sts. Timothy & Titus]
319,Week 3 - Wed,Heb 10:11-18,"Ps 110:1, 2, 3, 4",[no ref.],Mark 4:1-20,27-Jan-21
320,Week 3 - Thurs,Heb 10:19-25,"Ps 24:1-2, 3-4ab, 5-6",Ps 119:105,Mark 4:21-25,28-Jan-21
321,Week 3 - Fri,Heb 10:32-39,"Ps 37:3-4, 5-6, 23-24, 39-40",See Matt 11:25,Mark 4:26-34,29-Jan-21
322,Week 3 - Sat,"Heb 11:1-2, 8-19","Luke 1:69-70, 71-72, 73-75",John 3:16,Mark 4:35-41,30-Jan-21
323,Week 4 - Mon,Heb 11:32-40,"Ps 31:20, 21, 22, 23, 24",Luke 7:16,Mark 5:1-20,1-Feb-21
324,Week 4 - Tues,Heb 12:1-4,"Ps 22:26b-27, 28+30, 31-32",Matt 8:17,Mark 5:21-43,[2: Presentation of the Lord]
325,Week 4 - Wed,"Heb 12:4-7, 11-15","Ps 103:1-2, 13-14, 17-18a",John 10:27,Mark 6:1-6,3-Feb-21
326,Week 4 - Thurs,"Heb 12:18-19, 21-24","Ps 48:2-3ab, 3cd-4, 9, 10-11",Mark 1:15,Mark 6:7-13,4-Feb-21
327,Week 4 - Fri,Heb 13:1-8,"Ps 27:1, 3, 5, 8b-9abc",See Luke 8:15,Mark 6:14-29,5-Feb-21
328,Week 4 - Sat,"Heb 13:15-17, 20-21","Ps 23:1-3a, 3b-4, 5, 6",John 10:27,Mark 6:30-34,6-Feb-21
329,Week 5 - Mon,Gen 1:1-19,"Ps 104:1-2a, 5-6, 10+12, 24+35c",See Matt 4:23,Mark 6:53-56,8-Feb-21
330,Week 5 - Tues,Gen 1:20—2:4a,"Ps 8:4-5, 6-7, 8-9","Ps 119:36, 29b",Mark 7:1-13,9-Feb-21
331,Week 5 - Wed,"Gen 2:4b-9, 15-17","Ps 104:1-2a, 27-28, 29bc-30","See John 17:17b, 17a",Mark 7:14-23,10-Feb-21
332,Week 5 - Thurs,Gen 2:18-25,"Ps 128:1-2, 3, 4-5",James 1:21bc,Mark 7:24-30,11-Feb-21
333,Week 5 - Fri,Gen 3:1-8,"Ps 32:1-2, 5, 6, 7",See Acts 16:14b,Mark 7:31-37,12-Feb-21
334,Week 5 - Sat,Gen 3:9-24,"Ps 90:2, 3-4abc, 5-6, 12-13",Matt 4:4b,Mark 8:1-10,13-Feb-21
335,Week 6 - Mon,"Gen 4:1-15, 25","Ps 50:1+8, 16bc-17, 20-21",John 14:6,Mark 8:11-13,15-Feb-21
336,Week 6 - Tues,"Gen 6:5-8; 7:1-5, 10","Ps 29:1a+2, 3ac-4, 3b+9c-10",John 14:23,Mark 8:14-21,16-Feb-21
337,Week 6 - Wed,"Gen 8:6-13, 20-22","Ps 116:12-13, 14-15, 18-19",See Eph 1:17-18,Mark 8:22-26,[17: Ash Wednesday]
338,Week 6 - Thurs,Gen 9:1-13,"Ps 102:16-18, 19-21, 29+22-23","See John 6:63c, 68c",Mark 8:27-33,[Lent in 2021]
339,Week 6 - Fri,Gen 11:1-9,"Ps 33:10-11, 12-13, 14-15",John 15:15b,Mark 8:34—9:1,[Lent in 2021]
340,Week 6 - Sat,Heb 11:1-7,"Ps 145:2-3, 4-5, 10-11",See Mark 9:6,Mark 9:2-13,[Lent in 2021]
341,Week 7 - Mon,Sir 1:1-10,"Ps 93:1ab, 1cd-2, 5",See 2 Tim 1:10,Mark 9:14-29,[omit in 2021]
342,Week 7 - Tues,Sir 2:1-11,"Ps 37:3-4, 18-19, 27-28, 39-40",Gal 6:14,Mark 9:30-37,[omit in 2021]
343,Week 7 - Wed,Sir 4:11-19,"Ps 119:165, 168, 171, 172, 174, 175",John 14:6,Mark 9:38-40,[omit in 2021]
344,Week 7 - Thurs,Sir 5:1-8,"Ps 1:1-2, 3, 4+6",See 1 Thess 2:13,Mark 9:41-50,[omit in 2021]
345,Week 7 - Fri,Sir 6:5-17,"Ps 119:12, 16, 18, 27, 34, 35","See John 17:17b, 17a",Mark 10:1-12,[omit in 2021]
346,Week 7 - Sat,Sir 17:1-15,"Ps 103:13-14, 15-16, 17-18a",See Matt 11:25,Mark 10:13-16,[omit in 2021]
347,Week 8 - Mon,Sir 17:20-24,"Ps 32:1-2, 5, 6, 7",2 Cor 8:9,Mark 10:17-27,"[24: BVMary, Mother of the Church]"
348,Week 8 - Tues,Sir 35:1-12,"Ps 50:5-6, 7-8, 14+23",See Matt 11:25,Mark 10:28-31,25-May-21
349,Week 8 - Wed,"Sir 36:1, 4-5a, 10-17","Ps 79:8, 9, 11+13",Mark 10:45,Mark 10:32-45,26-May-21
350,Week 8 - Thurs,Sir 42:15-25,"Ps 33:2-3, 4-5, 6-7, 8-9",John 8:12,Mark 10:46-52,27-May-21
351,Week 8 - Fri,"Sir 44:1, 9-13","Ps 149:1b-2, 3-4, 5-6a+9b",See John 15:16,Mark 11:11-26,28-May-21
352,Week 8 - Sat,Sir 51:12cd-20,"Ps 19:8, 9, 10, 11","See Col 3:16a, 17c",Mark 11:27-33,29-May-21
353,Week 9 - Mon,Tob 1:3; 2:1a-8,"Ps 112:1b-2, 3b-4, 5-6",See Rev 1:5ab,Mark 12:1-12,[31: Visitation]
354,Week 9 - Tues,Tob 2:9-14,"Ps 112:1-2, 7-8, 9",See Eph 1:17-18,Mark 12:13-17,1-Jun-21
355,Week 9 - Wed,"Tob 3:1-11a, 16-17a","Ps 25:2-3, 4-5ab, 6+7bc, 8-9","John 11:25a, 26",Mark 12:18-27,2-Jun-21
356,Week 9 - Thurs,"Tob 6:10-11; 7:1bcde, 9-17; 8:4-9a","Ps 128:1-2, 3, 4-5",See 2 Tim 1:10,Mark 12:28b-34,3-Jun-21
357,Week 9 - Fri,Tob 11:5-17,"Ps 146:1b-2, 6c-7, 8-9a, 9bc-10",John 14:23,Mark 12:35-37,4-Jun-21
358,Week 9 - Sat,"Tob 12:1, 5-15, 20","Tob 13:2, 6, 7, 10 [Vulg.]",Matt 5:3,Mark 12:38-44,5-Jun-21
Lect. #,Day,First Reading: Year I,Responsorial Psalm,Alleluia,Gospel: Years I & II,2021
359,Week 10 - Mon,2 Cor 1:1-7,"Ps 34:2-3, 4-5, 6-7, 8-9",Matt 5:12a,Matt 5:1-12,7-Jun-21
360,Week 10 - Tues,2 Cor 1:18-22,"Ps 119:129, 130, 131, 132, 133, 135",Matt 5:16,Matt 5:13-16,8-Jun-21
361,Week 10 - Wed,2 Cor 3:4-11,"Ps 99:5, 6, 7, 8, 9","Ps 25:4b, 5a",Matt 5:17-19,9-Jun-21
362,Week 10 - Thurs,"2 Cor 3:15—4:1, 3-6","Ps 85:9ab+10, 11-12, 13-14",John 13:34,Matt 5:20-26,10-Jun-21
363,Week 10 - Fri,2 Cor 4:7-15,"Ps 116:10-11, 15-16, 17-18","Phil 2:15d, 16a",Matt 5:27-32,[11: Sacred Heart; St. Barnabas]
364,Week 10 - Sat,2 Cor 5:14-21,"Ps 103:1-2, 3-4, 9-10, 11-12","Ps 119:36a, 29b",Matt 5:33-37,[12: Immaculate Heart of BVMary]
365,Week 11 - Mon,2 Cor 6:1-10,"Ps 98:1, 2b-3ab, 3cd-4",Ps 119:105,Matt 5:38-42,14-Jun-21
366,Week 11 - Tues,2 Cor 8:1-9,"Ps 146:2, 5-6ab, 6c-7, 8-9a",John 13:34,Matt 5:43-48,15-Jun-21
367,Week 11 - Wed,2 Cor 9:6-11,"Ps 112:1bc-2, 3-4, 9",John 14:23,"Matt 6:1-6, 16-18",16-Jun-21
368,Week 11 - Thurs,2 Cor 11:1-11,"Ps 111:1b-2, 3-4, 7-8",Rom 8:15bc,Matt 6:7-15,17-Jun-21
369,Week 11 - Fri,"2 Cor 11:18, 21-30","Ps 34:2-3, 4-5, 6-7",Matt 5:3,Matt 6:19-23,18-Jun-21
370,Week 11 - Sat,2 Cor 12:1-10,"Ps 34:8-9, 10-11, 12-13",2 Cor 8:9,Matt 6:24-34,19-Jun-21
371,Week 12 - Mon,Gen 12:1-9,"Ps 33:12-13, 18-19, 20+22",Heb 4:12,Matt 7:1-5,21-Jun-21
372,Week 12 - Tues,"Gen 13:2, 5-18","Ps 15:2-3a, 3bc-4ab, 5",John 8:12,"Matt 7:6, 12-14",22-Jun-21
373,Week 12 - Wed,"Gen 15:1-12, 17-18","Ps 105:1-2, 3-4, 6-7, 8-9","John 15:4a, 5b",Matt 7:15-20,23-Jun-21
374,Week 12 - Thurs,"Gen 16:1-12, 15-16
 or 16:6b-12, 15-16","Ps 106:1b-2, 3-4a, 4b-5",John 14:23,Matt 7:21-29,[24: Navitity of St. John the Baptist]
375,Week 12 - Fri,"Gen 17:1, 9-10, 15-22","Ps 128:1-2, 3, 4-5",Matt 8:17,Matt 8:1-4,25-Jun-21
376,Week 12 - Sat,Gen 18:1-15,"Luke 1:46-47, 48-49, 50+53, 54-55",Matt 8:17,Matt 8:5-17,26-Jun-21
377,Week 13 - Mon,Gen 18:16-33,"Ps 103:1b-2, 3-4, 8-9, 10-11",Ps 95:8,Matt 8:18-22,28-Jun-21
378,Week 13 - Tues,Gen 19:15-29,"Ps 26:2-3, 9-10, 11-12",Ps 130:5,Matt 8:23-27,[29: Sts. Peter & Paul]
379,Week 13 - Wed,"Gen 21:5, 8-20a","Ps 34:7-8, 10-11, 12-13",James 1:18,Matt 8:28-34,30-Jun-21
380,Week 13 - Thurs,Gen 22:1b-19,"Ps 115:1-2, 3-4, 5-6, 8-9",2 Cor 5:19,Matt 9:1-8,1-Jul-21
381,Week 13 - Fri,"Gen 23:1-4, 19; 24:1-8, 62-67","Ps 106:1b-2, 3-4a, 4b-5",Matt 11:28,Matt 9:9-13,2-Jul-21
382,Week 13 - Sat,"Gen 27:1-5, 15-29","Ps 135:1b-2, 3-4, 5-6",John 10:27,Matt 9:14-17,[3: St. Thomas]
383,Week 14 - Mon,Gen 28:10-22a,"Ps 91:1-2, 3-4, 14-15ab",See 2 Tim 1:10,Matt 9:18-26,5-Jul-21
384,Week 14 - Tues,Gen 32:23-33,"Ps 17:1b, 2-3, 6-7ab, 8b+15",John 10:14,Matt 9:32-38,6-Jul-21
385,Week 14 - Wed,"Gen 41:55-57; 42:5-7a, 17-24a","Ps 33:2-3, 10-11, 18-19",Mark 1:15,Matt 10:1-7,7-Jul-21
386,Week 14 - Thurs,"Gen 44:18-21, 23b-29; 45:1-5","Ps 105:16-17, 18-19, 20-21",Mark 1:15,Matt 10:7-15,8-Jul-21
387,Week 14 - Fri,"Gen 46:1-7, 28-30","Ps 37:3-4, 18-19, 27-28, 39-40",John 16:13a; 14:26d,Matt 10:16-23,9-Jul-21
388,Week 14 - Sat,Gen 49:29-32; 50:15-26a,"Ps 105:1-2, 3-4, 6-7",1 Pet 4:14,Matt 10:24-33,10-Jul-21
389,Week 15 - Mon,"Exod 1:8-14, 22","Ps 124:1b-3, 4-6, 7-8",Matt 5:10,Matt 10:34—11:1,12-Jul-21
390,Week 15 - Tues,Exod 2:1-15a,"Ps 69:3, 14, 30-31, 33-34",Ps 95:8,Matt 11:20-24,13-Jul-21
391,Week 15 - Wed,"Exod 3:1-6, 9-12","Ps 103:1b-2, 3-4, 6-7",See Matt 11:25,Matt 11:25-27,14-Jul-21
