Lect. #,Day,First Reading: Year II,Responsorial Psalm,Alleluia,Gospel: Years I & II,2022
305,Week 1 - Mon,1 Sam 1:1-8,"Ps 116:12-13, 14-17, 18-19",Mark 1:15,Mark 1:14-22,10-Jan-22
306,Week 1 - Tues,1 Sam 1:9-22,"1 Sam 2:1, 4-5, 6-7, 8abcd",See 1 Thess 2:13,Mark 1:21-28,11-Jan-22
307,Week 1 - Wed,"1 Sam 3:1-10, 19-22","Ps 40:2+5, 7-8a, 8b-9, 10",John 10:27,Mark 1:29-39,12-Jan-22
308,Week 1 - Thurs,1 Sam 4:1-11,"Ps 44:10-11, 14-15, 24-25",See Matt 4:23,Mark 1:40-45,13-Jan-22
309,Week 1 - Fri,"1 Sam 8:4-7, 10-22a","Ps 89:16-17, 18-19",Luke 7:16,Mark 2:1-12,14-Jan-22
310,Week 1 - Sat,"1 Sam 9:1-4, 17-19; 10:1","Ps 21:2-3, 4-5, 6-7",Luke 4:18,Mark 2:13-17,15-Jan-22
311,Week 2 - Mon,1 Sam 15:16-23,"Ps 50:8-9, 16bc-17, 21+23",Heb 4:12,Mark 2:18-22,17-Jan-22
312,Week 2 - Tues,1 Sam 16:1-13,"Ps 89:20, 21-22, 27-28",See Eph 1:17-18,Mark 2:23-28,18-Jan-22
313,Week 2 - Wed,"1 Sam 17:32-33, 37, 40-51","Ps 144:1b, 2, 9-10",See Matt 4:23,Mark 3:1-6,19-Jan-22
314,Week 2 - Thurs,1 Sam 18:6-9; 19:1-7,"Ps 56:2-3, 9-10a, 10b-11, 12-13",See 2 Tim 1:10,Mark 3:7-12,20-Jan-22
315,Week 2 - Fri,1 Sam 24:3-21,"Ps 57:2, 3-4, 6+11",2 Cor 5:19,Mark 3:13-19,21-Jan-22
316,Week 2 - Sat,"2 Sam 1:1-4, 11-12, 19, 23-27","Ps 80:2-3, 5-7",See Acts 16:14b,Mark 3:20-21,22-Jan-22
317,Week 3 - Mon,"2 Sam 5:1-7, 10","Ps 89:20, 21-22, 25-26",See 2 Tim 1:10,Mark 3:22-30,24-Jan-22
318,Week 3 - Tues,"2 Sam 6:12b-15, 17-19","Ps 24:7, 8, 9, 10",See Matt 11:25,Mark 3:31-35,[25: Conversion of St. Paul]
319,Week 3 - Wed,2 Sam 7:4-17,"Ps 89:4-5, 27-28, 29-30",[no ref.],Mark 4:1-22,[26: Sts. Timothy & Titus]
320,Week 3 - Thurs,"2 Sam 7:18-19, 24-29","Ps 132:1-2, 3-5, 11, 12, 13-14",Ps 119:105,Mark 4:21-25,27-Jan-22
321,Week 3 - Fri,"2 Sam 11:1-4a, 5-10a, 13-17","Ps 51:3-4, 5-6a, 6bcd-7, 10-11",See Matt 11:25,Mark 4:26-34,28-Jan-22
322,Week 3 - Sat,"2 Sam 12:1-7a, 10-17","Ps 51:12-13, 14-15, 16-17",John 3:16,Mark 4:35-41,29-Jan-22
323,Week 4 - Mon,"2 Sam 15:13-14, 30; 16:5-13","Ps 3:2-3, 4-5, 6-7",Luke 7:16,Mark 5:1-22,31-Jan-22
