Date,#,Sunday or Feast,First Reading,Responsorial Psalm,Second Reading,Alleluia,Gospel
"4/9/20
 4/1/21
 4/14/22",39,"Holy Thursday: Evening Mass
 of the Lord's Supper – Years ABC","Exod 12:1-8, 11-14","Ps 116:12-13, 15-16, 17-18",1 Cor 11:23-26,John 13:34,John 13:1-15
"4/10/20
 4/2/21
 4/15/22",40,"Good Friday 
 of the Lord's Passion – ABC",Isa 52:13—53:12,"Ps 31:2+6, 12-13, 15-16, 17+25",Heb 4:14-16; 5:7-9,Phil 2:8-9,John 18:1—19:42
"4/11/20
 4/3/21
 4/16/22",41,"Easter Sunday:
 Resurrection of the Lord;
 Easter Vigil in the Holy Night – ABC","Use at least three, or up to
 seven readings from the OT,
 but always include #3:
 
 1) Gen 1:1—2:2 or 1, 26-31a
 2) Gen 22:1-18 or 1-2, 9a, 10-13, 15-18
 3) Exod 14:15—15:1
 4) Isa 54:5-14
 5) Isa 55:1-11
 6) Bar 3:9-15, 32-4:4
 7) Ezek 36:16-17a, 18-28 (diff)","Responses after each OT Reading:
 
 1) Ps 104:1-2, 5-6, 10+12, 13-14, 24+35 
 or Ps 33:4-5, 6-7, 12-13, 20-22 
 2) Ps 16:5+8, 9-10, 11
 3) Exod 15:1-2, 3-4, 5-6, 17-18
 4) Ps 30:2+4, 5-6, 11-12a+13b
 5) Isa 12:2-3, 4bcd, 5-6
 6) Ps 19:8, 9, 10, 11
 7) Ps 42:3, 5; 43:3, 4
 or Ps 51:12-13, 14-15, 18-19","NT Reading:
 Rom 6:3-11 Response after the Epistle:
 Psalm 118:1-2, 16-17, 22-23
 [refrain: triple ""Alleluia""]","[no extra 
 verse before
 the Gospel]","Gospels for Years A, B, C:
 
 A) Matt 28:1-10
 
 B) Mark 16:1-7 (diff)
 
 C) Luke 24:1-12"
"4/12/20
 4/4/21
 4/17/22",42,"Easter Sunday:
 Resurrection of the Lord;
 Mass of Easter Day – ABC","Acts 10:34a, 37-43","Ps 118:1-2, 16-17, 22-23","Col 3:1-4
 or 1 Cor 5:6b-8",1 Cor 5:7b-8a,"John 20:1-9
 or Luke 24:13-35
 (for afternoon Masses)"
.
4/19/20,43,2nd Sunday of Easter – A,Acts 2:42-47,"Ps 118:2-4, 13-15, 22-24",1 Pet 1:3-9,John 20:29,John 20:19-31
4/26/20,46,3rd Sunday of Easter – A,"Acts 2:14, 22-33 (diff)","Ps 16:1-2a+5, 7-8, 9-10, 11",1 Pet 1:17-21,cf. Luke 24:32,Luke 24:13-35
5/3/20,49,4th Sunday of Easter – A,"Acts 2:14a, 36-41","Ps 23:1-3a, 3b-4, 5, 6",1 Pet 2:20b-25,John 10:14,John 10:1-10
5/10/20,52,5th Sunday of Easter – A,Acts 6:1-7,"Ps 33:1-2, 4-5, 18-19",1 Pet 2:4-9,John 14:6,John 14:1-12
5/17/20,55,6th Sunday of Easter – A,"Acts 8:5-8, 14-17","Ps 66:1-3, 4-5, 6-7, 16+20",1 Pet 3:15-18,John 14:23,John 14:15-21
"5/21/20
 or 5/24/20",58,Ascension of the Lord – A (note),Acts 1:1-11,"Ps 47:2-3, 6-7, 8-9",Eph 1:17-23,Matt 28:19a+20b,Matt 28:16-20
5/24/20,59,7th Sunday of Easter – A (note),Acts 1:12-14,"Ps 27:1, 4, 7-8",1 Pet 4:13-16,cf. John 14:18,John 17:1-11a
.
4/11/21,44,2nd Sunday of Easter – B,Acts 4:32-35,"Ps 118:2-4, 13-15, 22-24",1 John 5:1-6,John 20:29,John 20:19-31
4/18/21,47,3rd Sunday of Easter – B,"Acts 3:13-15, 17-19","Ps 4:2, 4, 7-8, 9",1 John 2:1-5a,cf. Luke 24:32,Luke 24:35-48
4/25/21,50,4th Sunday of Easter – B,Acts 4:8-12,"Ps 118:1+8-9, 21-23, 26+21+29",1 John 3:1-2,John 10:14,John 10:11-18
5/2/21,53,5th Sunday of Easter – B,Acts 9:26-31,"Ps 22:26-27, 28+30, 31-32",1 John 3:18-24,John 15:4a+5b,John 15:1-8
5/9/21,56,6th Sunday of Easter – B,"Acts 10:25-26, 34-35, 44-48 (diff)","Ps 98:1, 2-3a, 3b-4",1 John 4:7-10,John 14:23,John 15:9-17
"5/13/21
 or 5/16/21",58,Ascension of the Lord – B (new),Acts 1:1-11,"Ps 47:2-3, 6-7, 8-9","opt: Eph 4:1-13
 or 4:1-7, 11-13 (new)",Matt 28:19a+20b,Mark 16:15-20
5/16/21,60,7th Sunday of Easter – B (note),"Acts 1:15-17, 20a, 20c-26","Ps 103:1-2, 11-12, 19-20",1 John 4:11-16,cf. John 14:18,John 17:11b-19
.
4/24/22,45,2nd Sunday of Easter – C,Acts 5:12-16,"Ps 118:2-4, 13-15, 22-24","Rev 1:9-11a, 12-13, 17-19",John 20:29,John 20:19-31
5/1/22,48,3rd Sunday of Easter – C,"Acts 5:27-32, 40b-41","Ps 30:2+4, 5-6, 11-12a+13b",Rev 5:11-14,(no bibl. ref.),John 21:1-19 or 21:1-14
5/8/22,51,4th Sunday of Easter – C,"Acts 13:14, 43-52","Ps 100:1-2, 3, 5","Rev 7:9, 14b-17",John 10:14,John 10:27-30
5/15/22,54,5th Sunday of Easter – C,Acts 14:21-27,"Ps 145:8-9, 10-11, 12-13",Rev 21:1-5a,John 13:34,"John 13:31-33a, 34-35"
5/22/22,57,6th Sunday of Easter – C,"Acts 15:1-2, 22-29","Ps 67:2-3, 5, 6+8","Rev 21:10-14, 22-23",John 14:23,John 14:23-29
"5/26/22
 or 5/29/22",58,Ascension of the Lord – C (new),Acts 1:1-11,"Ps 47:2-3, 6-7, 8-9",opt: Heb 9:24-28; 10:19-23 (new),Matt 28:19a+20b,Luke 24:46-53
5/29/22,61,7th Sunday of Easter – C (note),Acts 7:55-60,"Ps 97:1-2, 6-7, 9","Rev 22:12-14, 16-17, 20",cf. John 14:18,John 17:20-26
.
"5/30/20
 5/22/21
 6/4/22",62,"Pentecost Sunday:
 At the Vigil Mass – ABC","Gen 11:1-9
 or Exod 19:3-8a, 16-20b
 or Ezek 37:1-14
 or Joel 3:1-5","Ps 104:1-2, 24+35, 27-28, 29b-30",Rom 8:22-27,(no bibl. ref.),John 7:37-39
"5/30/20
 5/22/21
 6/4/22",62,"Pentecost Sunday: ABC 
 At the Vigil Mass – Extended Form*","1) Gen 11:1-9
 2) Exod 19:3-8a, 16-20b
 .
 3) Ezek 37:1-14
 4) Joel 3:1-5","1) Ps 33:10-11, 12-13, 14-15
 2) Daniel 3:52, 53, 54, 55, 56
 or Ps 19:8, 9, 10, 11
 3) Ps 107:2-3, 4-5, 6-7, 8-9
 4) Ps 104:1-2, 24+35, 27-28, 29b-30",Rom 8:22-27,(no bibl. ref.),John 7:37-39
5/31/20,63,"Pentecost Sunday:
 Mass during the Day – A",Acts 2:1-11,"Ps 104:1+24, 29-30, 31+34","1 Cor 12:3b-7, 12-13",(no bibl. ref.),John 20:19-23
5/23/21,63,Pentecost Sunday – B (new),Acts 2:1-11,"Ps 104:1+24, 29-30, 31+34",opt: Gal 5:16-25 (new),(no bibl. ref.),opt: John 15:26-27; 16:12-15 (new)
6/5/22,63,Pentecost Sunday – C (new),Acts 2:1-11,"Ps 104:1+24, 29-30, 31+34",opt: Rom 8:8-17 (new),(no bibl. ref.),"opt: John 14:15-16, 23b-26 (new)"
Date,#,Sunday or Feast,First Reading,Responsorial Psalm,Second Reading,Alleluia,Gospel
