2022,Lect. #,Day,First Reading,Responsorial Psalm,Alleluia Verse,Gospel
4/18/22,261,Octave of Easter - Mon,"Acts 2:14, 22-33","Ps 16:1-2a+5, 7-8, 9-10, 11",Ps 118:24,Matt 28:8-15
4/19/22,262,Octave of Easter - Tues,Acts 2:36-41,"Ps 33:4-5, 18-19, 20+22",Ps 118:24,John 20:11-18
4/20/22,263,Octave of Easter - Wed,Acts 3:1-10,"Ps 105:1-2, 3-4, 6-7, 8-9",Ps 118:24,Luke 24:13-35
4/21/22,264,Octave of Easter - Thurs,Acts 3:11-26,"Ps 8:2ab+5, 6-7, 8-9",Ps 118:24,Luke 24:35-48
4/22/22,265,Octave of Easter - Fri,Acts 4:1-12,"Ps 118:1-2+4, 22-24, 25-27a",Ps 118:24,John 21:1-14
4/23/22,266,Octave of Easter - Sat,Acts 4:13-21,"Ps 118:1+14-15ab, 16-18, 19-21",Ps 118:24,Mark 16:9-15
[4/25/22],267,"2nd Week of Easter - Mon
 [2022: St. Mark]",Acts 4:23-31,"Ps 2:1-3, 4-7a, 7b-9",Col 3:1,John 3:1-8
4/26/22,268,2nd Week of Easter - Tues,Acts 4:32-37,"Ps 93:1ab, 1cd-2, 5",John 3:14-15,John 3:7b-15
4/27/22,269,2nd Week of Easter - Wed,Acts 5:17-26,"Ps 34:2-3, 4-5, 6-7, 8-9",John 3:16,John 3:16-21
4/28/22,270,2nd Week of Easter - Thurs,Acts 5:27-33,"Ps 34:2+9, 17-18, 19-20",John 20:29,John 3:31-36
4/29/22,271,2nd Week of Easter - Fri,Acts 5:34-42,"Ps 27:1, 4, 13-14",Matt 4:4b,John 6:1-15
4/30/22,272,2nd Week of Easter - Sat,Acts 6:1-7,"Ps 33:1-2, 4-5, 18-19",[no bibl. ref.],John 6:16-21
5/2/22,273,3rd Week of Easter - Mon,Acts 6:8-15,"Ps 119:23-24, 26-27, 29-30",Matt 4:4b,John 6:22-29
[5/3/22],274,"3rd Week of Easter - Tues
 [2022: Sts. Philip and James]",Acts 7:51—8:1a,"Ps 31:3cd-4, 6+7b+8a, 17+21ab",John 6:35ab,John 6:30-35
5/4/22,275,3rd Week of Easter - Wed,Acts 8:1b-8,"Ps 66:1-3a, 4-5, 6-7a",See John 6:40,John 6:35-40
5/5/22,276,3rd Week of Easter - Thurs,Acts 8:26-40,"Ps 66:8-9, 16-17, 20",John 6:51,John 6:44-51
5/6/22,277,3rd Week of Easter - Fri,Acts 9:1-20,"Ps 117:1, 2",John 6:56,John 6:52-59
5/7/22,278,3rd Week of Easter - Sat,Acts 9:31-42,"Ps 116:12-13, 14-15, 16-17",See John 6:63c+68c,John 6:60-69
