2022,Lect. #,Day,First Reading,Responsorial Psalm,Alleluia Verse,Gospel
3/2/22,219*,Ash Wednesday,"Joel 2:12-18
 and 2 Cor 5:20—6:2","Ps 51:3-4, 5-6ab, 12-13, 14+17",See Ps 95:8,"Matt 6:1-6, 16-18"
3/3/22,220,Thursday after Ash Wed.,Deut 30:15-20,"Ps 1:1-2, 3, 4+6",Matt 4:17,Luke 9:22-25
3/4/22,221,Friday after Ash Wed.,Isa 58:1-9a,"Ps 51:3-4, 5-6ab, 18-19",See Amos 5:14,Matt 9:14-15
3/5/22,222*,Saturday after Ash Wed.,Isa 58:9b-14,"Ps 86:1-2, 3-4, 5-6",Ezek 33:11,Luke 5:27-32
3/7/22,224,1st Week of Lent – Mon,"Lev 19:1-2, 11-18","Ps 19:8, 9, 10, 15",2 Cor 6:2b,Matt 25:31-46
3/8/22,225,1st Week of Lent – Tues,Isa 55:10-11,"Ps 34:4-5, 6-7, 16-17, 18-19",Matt 4:4b,Matt 6:7-15
3/9/22,226,1st Week of Lent – Wed,Jonah 3:1-10,"Ps 51:3-4, 12-13, 18-19",Joel 2:12-13,Luke 11:29-32
3/10/22,227,1st Week of Lent – Thurs,"Esth C:12, 14-16, 23-25","Ps 138:1-2ab, 2cde-3, 7c-8",Ps 51:12a+14a,Matt 7:7-12
3/11/22,228,1st Week of Lent – Fri,Ezek 18:21-28,"Ps 130:1-2, 3-4, 5-7a, 7bc-8",Ezek 18:31,Matt 5:20-26
3/12/22,229,1st Week of Lent – Sat,Deut 26:16-19,"Ps 119:1-2, 4-5, 7-8",2 Cor 6:2b,Matt 5:43-48
3/14/22,230,2nd Week of Lent – Mon,Dan 9:4b-10,"Ps 78:8, 9, 11+13",See John 6:63c+68c,Luke 6:36-38
3/15/22,231,2nd Week of Lent – Tues,"Isa 1:10, 16-20","Ps 50:8-9, 16bc-17, 21+23",Ezek 18:31,Matt 23:1-12
3/16/22,232,2nd Week of Lent – Wed,Jer 18:18-20,"Ps 31:5-6, 14, 15-16",John 8:12,Matt 20:17-28
3/17/22,233,2nd Week of Lent – Thurs,Jer 17:5-10,"Ps 1:1-2, 3, 4+6",See Luke 8:15,Luke 16:19-31
3/18/22,234,2nd Week of Lent – Fri,"Gen 37:3-4, 12-13a, 17b-28a","Ps 105:16-17, 18-19, 20-21",John 3:16,"Matt 21:33-43, 45-46"
[3/19/22],235,"2nd Week of Lent – Sat
 [2022: St. Joseph, Husband of Mary]","Mic 7:14-15, 18-20","Ps 103:1-2, 3-4, 9-10, 11-12",Luke 15:18,"Luke 15:1-3, 11-32"
x,236*,3rd Week of Lent – optional Mass,Exod 17:1-7,"Ps 95:1-2, 6-7ab, 7c-9","See John 4:42, 15",John 4:5-42
3/21/22,237,3rd Week of Lent – Mon,2 Kgs 5:1-15a,"Ps 42:2, 3; 43:3, 4",See Ps 130:5+7,Luke 4:24-30
3/22/22,238,3rd Week of Lent – Tues,"Dan 3:25, 34-43","Ps 25:4-5ab, 6+7bc, 8-9",Joel 2:12-13,Matt 18:21-35
3/23/22,239,3rd Week of Lent – Wed,"Deut 4:1, 5-9","Ps 147:12-13, 15-16, 19-20",See John 6:63c+68c,Matt 5:17-19
3/24/22,240,3rd Week of Lent – Thurs,Jer 7:23-28,"Ps 95:1-2, 6-7, 8-9",Joel 2:12-13,Luke 11:14-23
[3/25/22],241,"3rd Week of Lent – Fri
 [2022: Annunciation]",Hos 14:2-10,"Ps 81:6c-8a, 8bc-9, 10-11ab, 14+17",Matt 4:17,Mark 12:28b-34
3/26/22,242,3rd Week of Lent – Sat,Hos 6:1-6,"Ps 51:3-4, 18-19, 20-21ab",Ps 95:8,Luke 18:9-14
x,243*,4th Week of Lent – optional Mass,Mic 7:7-9,"Ps 26:1, 7-8a, 8b-9abc, 13-14",John 8:12,John 9:1-41
3/28/22,244,4th Week of Lent – Mon,Isa 65:17-21,"Ps 30:2+4, 5-6, 11-12a+13b",Amos 5:14,John 4:43-54
