Lect. #,Day,First Reading,Responsorial Psalm,Alleluia Verse,Gospel
[696],"[Dec. 26] – Feast of St. Stephen, first martyr (omitted in 2021)",Acts 6:8-10; 7:54-59,"Ps 31:3cd-4, 6ab+8a, 16bc+17",Ps 118:26a+27a,Matt 10:17-22
[697],"Dec. 27 – Feast of St. John, Apostle & Evangelist",1 John 1:1-4,"Ps 97:1-2, 5-6, 11-12",[See Te Deum],"John 20:1a, 2-8"
[698],"Dec. 28 – Feast of the Holy Innocents, martyrs",1 John 1:5—2:2,"Ps 124:2-3, 4-5, 7cd-8",[See Te Deum],Matt 2:13-18
202,Dec. 29 – 5th Day in the Octave of Christmas,1 John 2:3-11,"Ps 96:1-2a, 2b-3, 5b-6",Luke 2:32,Luke 2:22-35
203,Dec. 30 – 6th Day in the Octave of Christmas,1 John 2:12-17,"Ps 96:7-8a, 8b-9, 10",[no bibl. ref.],Luke 2:36-40
204,Dec. 31 – 7th Day in the Octave of Christmas,1 John 2:18-21,"Ps 96:1-2, 11-12, 13",John 1:14a+12a,John 1:1-18
[18],"Jan. 1 – The Solemnity of Mary, Mother of God",(see the Sunday Lectionary),.,.,.
205,"Jan. 2 (not used in 2022, since Jan.2 is Epiphany Sunday)",1 John 2:22-28,"Ps 98:1, 2-3ab, 3cd-4",Heb 1:1-2,John 1:19-28
206,"Jan. 3 (not used in 2022; see Monday after Epiphany, below)",1 John 2:29—3:6,"Ps 98:1, 3cd-4, 5-6",John 1:14a+12a,John 1:29-34
207,"Jan. 4 (not used in 2022; see Tuesday after Epiphany, below)",1 John 3:7-10,"Ps 98:1, 7-8, 9",Heb 1:1-2,John 1:35-42
208,"Jan. 5 (not used in 2022; see Wednesday after Epiphany, below)",1 John 3:11-21,"Ps 100:1b-2, 3, 4, 5",[no bibl. ref.],John 1:43-51
209*,Jan. 6 (only if Epiphany is Jan. 7 or 8),1 John 5:5-13,"Ps 147:12-13, 14-15, 19-20",See Mark 9:6,"Mark 1:7-11 or
 Luke 3:23-38 or
 Luke 3:23, 31-34, 36, 38"
210**,Jan. 7 (only if Epiphany is Jan. 8),1 John 5:14-21,"Ps 149:1-2, 3-4, 5+6a+9b",Luke 7:16,John 2:1-11
[20],"The Epiphany of the Lord (Sunday, 1/2/22, or traditionally Jan. 6)",(see the Sunday Lectionary),.,.,.
212***,"Monday after Epiphany (1/3/22), or sometimes Jan. 7",1 John 3:22—4:6,"Ps 2:7bc-8, 10-12a",See Matt 4:23,"Matt 4:12-17, 23-25"
213,"Tuesday after Epiphany (1/4/22), or sometimes Jan. 8",1 John 4:7-10,"Ps 72:1-2, 3-4, 7-8",Luke 4:18,Mark 6:34-44
214,"Wednesday after Epiphany (1/5/22), or sometimes Jan. 9",1 John 4:11-18,"Ps 72:1-2, 10, 12-13",See 1 Tim 3:16,Mark 6:45-52
215,"Thursday after Epiphany (1/6/22), or sometimes Jan. 10",1 John 4:19—5:4,"Ps 72:1-2, 14+15bc, 17",Luke 4:18,Luke 4:14-22a
216,"Friday after Epiphany (1/7/22), or sometimes Jan. 11",1 John 5:5-13,"Ps 147:12-13, 14-15, 19-20",See Matt 4:23,Luke 5:12-16
217,"Saturday after Epiphany (1/8/22), or sometimes Jan. 12",1 John 5:14-21,"Ps 149:1-2, 3-4, 5+6a+9b",Matt 4:16,John 3:22-30
[21]†,Sunday after Epiphany (1/9/22) – Feast of the Baptism of the Lord,(see the Sunday Lectionary),.,.,.
